100,9,0.0900
200,4,0.0650
300,6,0.0633
400,6,0.0625
500,6,0.0620
600,7,0.0633
700,5,0.0614
800,1,0.0550
900,8,0.0578
1000,9,0.0610
1100,7,0.0618
1200,3,0.0592
1300,6,0.0592
1400,7,0.0600
1500,8,0.0613
1600,2,0.0587
1700,9,0.0606
1800,3,0.0589
1900,6,0.0589
2000,3,0.0575
2100,7,0.0581
2200,6,0.0582
2300,6,0.0583
2400,7,0.0587
