100,8,0.0800
200,16,0.1200
300,13,0.1233
400,21,0.1450
500,33,0.1820
600,51,0.2367
700,41,0.2614
800,49,0.2900
900,55,0.3189
1000,58,0.3450
1100,55,0.3636
1200,48,0.3733
1300,54,0.3862
1400,68,0.4071
1500,57,0.4180
1600,57,0.4275
1700,63,0.4394
1800,64,0.4506
1900,65,0.4611
2000,68,0.4720
2100,64,0.4800
2200,69,0.4895
2300,73,0.5000
2400,68,0.5075
2500,63,0.5124
2600,65,0.5177
2700,74,0.5259
2800,63,0.5296
2900,76,0.5376
3000,63,0.5407
3100,71,0.5461
3200,66,0.5497
3300,70,0.5542
3400,69,0.5582
3500,72,0.5629
3600,73,0.5675
3700,80,0.5738
3800,60,0.5745
3900,68,0.5772
4000,61,0.5780
4100,67,0.5802
4200,67,0.5824
4300,75,0.5863
4400,79,0.5909
4500,85,0.5967
4600,79,0.6009
4700,83,0.6057
4800,72,0.6081
4900,78,0.6116
5000,72,0.6138
5100,72,0.6159
5200,72,0.6179
5300,74,0.6202
5400,75,0.6226
5500,64,0.6229
5600,75,0.6252
5700,80,0.6282
5800,79,0.6310
5900,76,0.6332
6000,75,0.6352
6100,71,0.6364
6200,73,0.6379
6300,75,0.6397
6400,82,0.6425
6500,82,0.6452
6600,80,0.6476
6700,83,0.6503
6800,83,0.6529
6900,80,0.6551
7000,81,0.6573
7100,87,0.6603
7200,87,0.6632
7300,81,0.6652
7400,83,0.6674
7500,82,0.6695
7600,81,0.6713
7700,85,0.6736
7800,81,0.6754
7900,84,0.6775
8000,85,0.6796
8100,91,0.6825
8200,93,0.6855
8300,90,0.6881
8400,91,0.6907
8500,96,0.6939
8600,94,0.6967
8700,90,0.6991
8800,90,0.7014
8900,95,0.7042
9000,88,0.7061
9100,89,0.7081
9200,90,0.7102
9300,92,0.7125
9400,97,0.7152
9500,96,0.7178
9600,88,0.7195
9700,87,0.7210
9800,94,0.7233
9900,94,0.7255
10000,91,0.7273
10100,91,0.7291
10200,95,0.7313
10300,91,0.7330
10400,94,0.7350
10500,95,0.7370
10600,92,0.7388
10700,92,0.7405
10800,94,0.7423
10900,92,0.7439
11000,93,0.7456
11100,93,0.7473
11200,89,0.7486
11300,91,0.7500
11400,88,0.7511
11500,89,0.7523
11600,91,0.7537
11700,86,0.7546
11800,87,0.7556
11900,95,0.7572
12000,86,0.7581
12100,92,0.7594
12200,90,0.7606
12300,94,0.7620
12400,96,0.7636
12500,92,0.7649
12600,91,0.7660
12700,92,0.7672
12800,95,0.7687
12900,95,0.7701
13000,93,0.7713
13100,94,0.7726
13200,89,0.7735
13300,91,0.7745
13400,94,0.7757
13500,93,0.7769
13600,88,0.7776
13700,95,0.7789
13800,94,0.7801
13900,93,0.7812
14000,89,0.7819
